model,RMSE,MAE,R2
LightGBM,0.10071525402913983,0.06246660916698777,0.9979927430379704
Extra Trees,0.1245014053723318,0.062096862817670774,0.9969326666573765
Random Forest,0.14640716099107712,0.0786359313884787,0.9957583277649127
XGBoost,0.1635210079548447,0.112031736223376,0.9947087341923461
CatBoost,0.20045496129181747,0.12824727998850308,0.9920485544903315
Decision Tree,0.22872398576987477,0.12662359413124638,0.9896477228841475
KNN,0.27602548586931036,0.15716652397308956,0.9849231423643046
Gradient Boosting,0.28404452614954184,0.2006412747393201,0.9840343973392444
AdaBoost,0.9892888768678705,0.8170991503455368,0.8063316198359487
Linear Regression,1.3515189238139171,0.9464803854165322,0.6385429248707819
Ridge Regression,1.3515259033943934,0.9464364451834171,0.638539191552344
Lasso Regression,1.7547292051022874,1.0654419151698595,0.3906978974786217
